Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
HOR12762_2	Sanger / Illumina 1.9	96	40656190	48	49	72.38174020460076	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
HOR12830_1	Sanger / Illumina 1.9	101	55296077	69	48	68.97774813989422	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR12830_2	Sanger / Illumina 1.9	101	55296077	69	48	69.66600727927216	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR13416_1	Sanger / Illumina 1.9	101	41839971	52	48	73.32400723244012	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR13416_2	Sanger / Illumina 1.9	101	41839971	52	48	73.73234236680024	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR14153_1	Sanger / Illumina 1.9	101	50736000	64	49	68.96212591407979	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR14153_2	Sanger / Illumina 1.9	100	50736000	63	49	69.61193192974558	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR14279_1	Sanger / Illumina 1.9	101	64482443	81	48	71.24441983071192	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	FAIL
HOR14279_2	Sanger / Illumina 1.9	100	64482443	80	48	71.90036411541406	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	FAIL
HOR1431_1	Sanger / Illumina 1.9	101	55651364	70	48	73.08230028048085	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR1431_2	Sanger / Illumina 1.9	100	55651364	69	48	74.39567184174656	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	FAIL
HOR1463_1	Sanger / Illumina 1.9	101	55351559	69	48	66.87537818449358	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR1463_2	Sanger / Illumina 1.9	101	55351559	69	48	67.65200371012624	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR154_1	Sanger / Illumina 1.9	101	45563268	57	49	69.33712447217385	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR154_2	Sanger / Illumina 1.9	101	45563268	57	49	69.30131141667208	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR1707_1	Sanger / Illumina 1.9	101	53059877	66	48	57.945600619226646	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR1707_2	Sanger / Illumina 1.9	100	53059877	66	48	58.27062820608059	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR1758_1	Sanger / Illumina 1.9	101	58007362	73	48	62.783086219028675	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR1758_2	Sanger / Illumina 1.9	100	58007362	72	48	63.39118865130791	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR1804_1	Sanger / Illumina 1.9	101	50302042	63	48	67.47536118779819	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR1804_2	Sanger / Illumina 1.9	101	50302042	63	48	68.64891011919912	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR1842_1	Sanger / Illumina 1.9	101	65847456	83	48	61.09502676880501	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR1842_2	Sanger / Illumina 1.9	101	65847456	83	48	62.2565283166201	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR203_1	Sanger / Illumina 1.9	101	65619158	82	47	60.018070981389485	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR203_2	Sanger / Illumina 1.9	101	65619158	82	47	60.553082303338556	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2351_1	Sanger / Illumina 1.9	101	43594139	55	49	70.46799880262621	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR2351_2	Sanger / Illumina 1.9	101	43594139	55	49	70.5182518496316	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR2458_1	Sanger / Illumina 1.9	101	48646966	61	48	71.1250371722852	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR2458_2	Sanger / Illumina 1.9	101	48646966	61	48	70.34273661299427	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS	WARN	PASS	PASS
HOR2462_1	Sanger / Illumina 1.9	101	58938472	74	48	67.57653241746524	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2462_2	Sanger / Illumina 1.9	101	58938472	74	48	66.81827018186387	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	WARN	PASS	PASS
HOR2465_1	Sanger / Illumina 1.9	101	52423514	66	48	69.15643909424264	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2465_2	Sanger / Illumina 1.9	101	52423514	66	48	68.29659815825336	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	WARN	PASS	PASS
HOR2766_1	Sanger / Illumina 1.9	101	51293557	64	46	60.903425936023105	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2766_2	Sanger / Illumina 1.9	97	51293557	62	47	64.86044031323014	FAIL	FAIL	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2777_1	Sanger / Illumina 1.9	101	48292110	60	47	75.89484526594833	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
HOR2777_2	Sanger / Illumina 1.9	100	48292110	60	47	77.18534458495185	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
HOR2785_1	Sanger / Illumina 1.9	101	48983410	61	48	63.57773783470003	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2785_2	Sanger / Illumina 1.9	100	48983410	61	48	64.1261639727629	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2792_1	Sanger / Illumina 1.9	101	51237161	64	48	65.04382206590145	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2792_2	Sanger / Illumina 1.9	100	51237161	64	48	65.51721541164727	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	FAIL
HOR2800_1	Sanger / Illumina 1.9	101	46110162	58	48	69.34521604312597	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2800_2	Sanger / Illumina 1.9	101	46110162	58	48	70.45371170760227	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR2808_1	Sanger / Illumina 1.9	101	46875302	59	48	66.27173309903795	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2808_2	Sanger / Illumina 1.9	100	46875302	58	48	66.8682927444516	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2829_1	Sanger / Illumina 1.9	101	56344056	71	48	67.8490301249079	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2829_2	Sanger / Illumina 1.9	101	56344056	71	48	68.58245971270622	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
